key_format,timing_component,timing_source,nodes,positive_compute_nodes
pp_gradient:receiver0:lane10:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane10:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane11:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane11:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane11:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane12:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane12:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane12:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane13:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane13:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane13:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane14:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane14:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane14:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane15:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane15:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane15:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane1:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane1:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane1:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane2:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane2:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane2:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane3:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane3:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane3:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane4:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane4:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane4:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane5:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane5:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane5:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane6:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane6:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane6:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane7:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane7:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane7:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane8:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane8:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane8:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane9:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane9:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver0:lane9:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane0:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane0:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane0:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane10:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane10:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane10:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane11:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane11:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane11:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane12:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane12:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane12:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane13:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane13:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane13:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane14:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane14:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane14:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane15:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane15:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane15:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane1:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane1:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane1:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane2:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane2:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane2:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane3:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane3:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane3:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane4:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane4:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane4:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane5:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane5:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane5:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane6:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane6:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane6:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane7:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane7:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane7:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane8:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane8:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane8:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane9:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane9:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver10:lane9:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane0:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane0:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane0:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane10:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane10:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane10:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane11:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane11:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane11:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane12:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane12:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane12:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane13:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane13:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane13:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane14:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane14:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane14:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane15:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane15:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane15:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane1:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane1:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane1:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane2:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane2:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane2:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane3:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane3:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane3:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane4:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane4:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane4:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane5:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane5:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane5:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane6:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane6:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane6:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane7:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane7:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane7:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane8:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane8:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane8:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane9:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane9:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver12:lane9:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane0:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane0:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane0:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane10:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane10:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane10:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane11:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane11:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane11:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane12:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane12:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane12:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane13:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane13:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane13:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane14:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane14:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane14:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane15:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane15:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane15:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane1:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane1:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane1:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane2:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane2:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane2:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane3:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane3:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane3:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane4:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane4:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane4:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane5:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane5:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane5:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane6:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane6:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane6:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane7:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane7:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane7:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane8:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane8:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane8:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane9:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane9:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver13:lane9:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane0:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane0:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane0:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane10:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane10:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane10:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane11:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane11:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane11:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane12:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane12:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane12:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane13:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane13:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane13:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane14:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane14:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane14:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane15:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane15:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane15:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane1:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane1:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane1:mb2,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane2:mb0,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
pp_gradient:receiver14:lane2:mb1,pp_trace_wall,source256_receiver_stage_lane_microbatch_gradient_wall_median,1,0
